#,Do you already have a belief that you would like to challenge?,Do you have a belief in mind that you'd like to challenge?,Please state your belief,How much do you believe it is true?,What evidence do you have that it is true?,"Looking at your answer again, do you think what you shared is something you *believe to be true* or an *objective fact* you can prove",What objective evidence do you have that this is true?,Is there any objective evidence that this is *not* true?,Is there any objective evidence that this belief is *not* true?,Would you like to see an example before creating your own balanced belief?,Would you like to see an example before creating your own balanced belief?,What would be a more balanced belief?,What would be a more balanced belief?,"Just checking in with you, how did that feel?",Do you feel any different about this belief after considering the evidence for and against it?,This can sometimes happen. Could you share more about what makes it more believable now?,"Is there something you can do differently in the next couple of days, given that this belief feels less true to you now? ",uid,component_id,Start Date (UTC),Submit Date (UTC),Network ID,Tags
mn5kx9bjdyu9tzmn5kxjvy8xtwn7niv8,1,,"If I speak about my feelings, others will think I’m weak",4,Past experience,Belief,None,,Not sure as I really feel this is the case. Though people tend to say the opposite,,Yes,,People may think I’m weak but those close to me would appreciate my honesty and may be able to help,A bit like I’m trying to convince myself,I still believe it just as much,,,56fbbcd14aaa50000da05e80,M1E2,2023-03-29 17:59:13,2023-03-29 18:01:26,d175264170,
l1g57yxmwd34mzwn6l1g51bpkpsys7jc,1,,That being fat means I am not nice,4,People making fun,Belief,None,,I have lots of friends,,No,,That being fat doesn’t represent who I am,Hard,I believe it less,,Notice how people act around me,5ba151aaa9e7be000135f08f,M1E2,2023-03-29 17:09:42,2023-03-29 17:12:18,d5caf2239e,
huege3r2htvaui4huege5d2aihdzxr46,1,,if i am too self-conscious people will think im stupid,5,they told me,Belief,people seemed biased,,yes,,Yes,,i am not sure,better,I believe it less,,i will try and think about it less and be more open to people,5bddfba7712eb800010d3a61,M1E2,2023-03-29 16:42:32,2023-03-29 16:47:44,afa8a4ea2f,
w574niia3a67hze8w574ntfmaw4izvbf,1,,If I talk to intelligent people they'll think I'm stupid.,5,Sometimes people look bored or confused when I talk.,Fact,,No.,,Yes,,Sometimes people do not understand me because I get muddled in my head. I cannot say for sure that they do actually think I'm stupid. They're probably just trying to understand what I'm trying to say.,,It's really hard to think of a way to positively swing a long held belief.,I still believe it just as much,,,613f1d6420141eefc3e5f1b0,M1E2,2023-03-29 16:33:07,2023-03-29 16:41:15,e41092934c,
4bc6uid7wp8yuz4bc6mmivz32w8hc7pt,1,,If I speak to someone new I will say something stupid and embarrass myself,5,I have done it many times before,Belief,People will talk to me if I talk to them,,I will say something stupid,,Yes,,I should be myself when I talk to people,Indifferent,I still believe it just as much,,,56b0e4d16399f9000ad8d48f,M1E2,2023-03-29 15:04:11,2023-03-29 15:08:45,db189bea7c,
m4pjp99vxsajcd3zawum4pj7zak2o8kq,1,,Always being watched judged when outside,5,People can tell me what I've done ect,Belief,People tell me what I've been up to,,Not really no,,No,,People observe me sometimes not all times,Pretty much the same,I still believe it just as much,,,5f99104474aa880009b64318,M1E2,2023-03-29 14:16:50,2023-03-29 14:21:08,90a3d57a8c,
9692299a20pt8kieexp9692290nk63vn,1,,If I am fat others at the gym will stare at me,5,None,Not applicable - I did not have evidence,,Haven’t seen anyone stare at me,,Yes,,"I have a sense that people stare at me, but I haven’t seen anyone do it",,Better,I believe it less,,Not care so much,6400d919945d23676a68b781,M1E2,2023-03-29 13:54:24,2023-03-29 13:56:17,cce853aa75,
3yfi6w16to3a83upg3yfii4tdjpiex3z,1,,if i talk about myself then others will think i’m boring,3,people sometimes stop paying attention to what i’m saying or talk over me,Belief,none,,sometimes people laugh at my jokes or ask questions about my life,,Yes,,i have a sense that if i talk about myself then others will be bored but i do not know if this is true,like a relief,I believe it less,,I can tell people more about my life,60de4cc94dfda4d9e1948e6d,M1E2,2023-03-29 13:47:50,2023-03-29 13:52:02,aa7146c04d,
w3we20hzldnsuqztze5bw3we207j1qab,0,Yes,If I go to the gym when it’s busy others will be annoyed that I am taking up space I don’t deserve,4,Because I have seen other people being laughed at by gym goers,Belief,Seeing others do it,,I don’t do the same thing to other people and neither do my friends,,No,,If I go to the gym nobody will notice me,Good,I still believe it just as much,,,5b89ad4819110c0001eb707c,M1E2,2023-03-29 13:07:23,2023-03-29 13:09:31,3e1db74366,
0s9vgx87c4nn2sf8nhu30s9vgx8ir3lz,1,,If I say hi to someone they will start speaking to me,5,It has happened before in past situations,Fact,,Sometimes they just say hi and don't start a conversation,,Yes,,If I say hi to someone it is possible they start a conversation but not always because sometimes thay are busy and just say hi,,"It felt good, like a relief",I still believe it just as much,,,612a87998958706392797405,M1E2,2023-03-29 13:00:34,2023-03-29 13:05:02,5ccaff2184,
73jfjovi0i87gjo373jfjw1aunvdh3q5,0,Yes,If I don’t speak up in a conversation others will think I’m too reserved,5,No evidence,Not applicable - I did not have evidence,,"Even if I am a little bit quiet, others do try to include me in the conversation",,Yes,,I think I may be left out of conversations but this has not really happened yet,,Exposing,I still believe it just as much,,,5f1c62b6554a0f4f129c75fd,M1E2,2023-03-29 13:01:29,2023-03-29 13:04:45,831f29bbb7,
6hfmikwyq70faooxrtafkh6hfmikyq1v,0,Yes,"If my friends stare at me, they think I’m ugly",4,No evidence,Not applicable - I did not have evidence,,None,,Yes,,They’re probably just looking at me whilst to get my attention in the conversation,,Good,I believe it less,,Try to be more confident about myself,5ede01a612a7d6000bf2316f,M1E2,2023-03-29 12:53:33,2023-03-29 12:58:56,fa92bd3c1e,
qwyb8kanqneenqq07sqwyb8zuo75pk4x,1,,If I talk others will be bored,4,Conversation dying down,Belief,Conversation is sometimes hard to start,,No,,Yes,,I am nervous about starting conversation,Ok,I still believe it just as much,,,5eb9697b651aca0436adfe9d,M1E2,2023-03-29 12:54:17,2023-03-29 12:57:33,ce5b38231c,
u98uis15ffbx2wm3mqcdjj9u98uimxmn,1,,If I do public speaking others will know I am stupid,5,Others people’s faces when they hear me say something,Fact,,"Some people don’t even pay attention to what I say, they were just reacting to something they were thinking",,No,,"Some people think I’m stupid, some do not",,A bit better,I believe it less,,Do more public speaking,63d13d214a2a7a3987f88f5b,M1E2,2023-03-29 12:51:08,2023-03-29 12:53:32,a547f6d472,
stl2k7xcsyor1dstl2b7sjriwlyq4u09,0,Yes,"When supermarket shopping, packing at the checkout I feel a pressure to hurry from the person behind me in the queue",5,People stare at me,Fact,,None,,Yes,,Maybe they have other things to look at,,Ok,I still believe it just as much,,,5876428ceae9d5000140eb16,M1E2,2023-03-29 12:00:02,2023-03-29 12:03:39,b27e798f79,
jkfemevyu0ajyxjkjrbx1ff9rbjujnzj,1,,"If i do public speaking, my delivery will be poor",4,"Objective personal assessment, people look bored or nonplussed, a few will get up and leave the talk",Fact,,"On some occasions, the audience clapped.",,Yes,,I have the sense my delivery is poor but maybe sometimes it is ok,,Dubious,I still believe it just as much,,,5aafb6f2e1546900019b0772,M1E2,2023-03-28 22:18:05,2023-03-28 22:24:30,2499026ba4,
9zhaiw1o2n3wb2rvpdx459zhaikl4gxb,1,,If I try and make new friends I will fail,5,Every time I try and make new friends I fail,Belief,Almost every time I try and make friends I fail to do so,,I have made a few friends,,Yes,,"I think that if I try and make friends I will fail, but sometimes I don’t fail and I do make friends",I feel a bit better,I believe it less,,Try and talk to more people,613791ef07e699be4ebd53f8,M1E2,2023-03-28 21:01:59,2023-03-28 21:06:56,1e5387e628,
5v5uvgv2amxrnttw5v5cwp5ecpc3z41t,1,,If I do speak aloud others will think I am shy,5,"I close up, stutter and go quiet",Belief,I am more outspoken with family just not people I do not know,,No,,No,,I don't know,Depressed today,I still believe it just as much,,,570ffae3736f6a00125577c5,M1E2,2023-03-28 09:53:05,2023-03-28 09:55:47,5cd2d29f69,
nsoril1fws2bzbgwj6203nsosdxaoo56,1,,That everyone is against me,5,They hate me,Belief,Not sure,,No,,No,,That some people dislike me,Not bad,I believe it less,,I suppose take no notice,5edca29654fe059801608fc0,M1E2,2023-03-28 07:45:48,2023-03-28 07:47:48,85a9530b4e,
x55gpwjhtkxfyoax55gedjbr74ymob28,1,,If I say no to someone they won't like me anymore,4,They change when I don't do what they want,Fact,,They still don't like me even when I try to please them,,No,,They are a bad person and don't care about me and are just using me,,"It's not me, it's them",I believe it less,,No not really,5ef647ec3ce68a1178780f5a,M1E2,2023-03-27 20:31:02,2023-03-27 20:33:50,4ffd047acd,
tb5pikguo28egsb0xtb5piqfn62nz098,0,Yes,If I fail,5,Unsure,Belief,I think others will see it negatively,,No,,Yes,,Other people may not even care if I fail,Difficult at first to think of one point,I still believe it just as much,,,5e3f63305ed1321be26ea5fe,M1E2,2023-03-27 14:10:03,2023-03-27 14:13:49,d94d04e5fb,
mbxxb3irqyerwshvmbxxb4ffslbfa8qy,1,,Public speaking makes me nervous,5,Previous attempts,Belief,Speaking in front of peers,,Not done recently,,No,,Need to reattempt,Good,I believe it less,,Practice,5adec594e0feeb0001cacf00,M1E2,2023-03-27 12:05:25,2023-03-27 12:08:19,1d7e6a9b3d,
68n0vh7qv4sjf68n0pwvb6lbzycoszne,0,"No, I'll come back later",,,,,,,,,,,,,,,,56fbbcd14aaa50000da05e80,M1E2,2023-03-27 08:45:56,2023-03-27 08:46:15,d175264170,
1w63y79f1iznin1or1w681c4301fwpgb,0,Yes,If I speak up in a meeting everyone will have eyes on me and it will be embarrassing,5,None it’s just I feel embarrassed with everyone looking,Belief,None,,No,,No,,It’s just me overthinking,Good,I believe it less,,Keep telling myself it’s in my head,5bb7a2f927fb5000013cb0e6,M1E2,2023-03-25 22:09:26,2023-03-25 22:15:23,c8f9f12e9b,
